object_id	image name	Area	Mean	StdDev	Min	Max	Major	Minor	Angle	Feret	Slice	FeretX	FeretY	FeretAngle	MinFeret	Length (pixel)	Length (mm)
44_n1_kl_d2_1_848	44_n1_kl_d2_1_848.jpg	64	178.5	30.257	133	255	0	0	0	63.789	1	23	25	170.981	0.022	63.789	0.6761634
44_n1_kl_d2_1_888	44_n1_kl_d2_1_888.jpg	40	227	7.881	216	255	0	0	0	39.013	1	132	20	178.531	0.021	39.013	0.4135378
44_n1_kl_d2_1_89	44_n1_kl_d2_1_89.jpg	84	142.798	26.65	105	233	0	0	0	83.096	1	21	41	2.759	0.349	83.096	0.8808176
44_n1_kl_d2_1_903	44_n1_kl_d2_1_903.jpg	56	213.821	19.602	184	255	0	0	0	55.362	1	36	67	69.928	0.069	55.362	0.5868372
44_n1_kl_d2_1_917	44_n1_kl_d2_1_917.jpg	38	210.421	13.264	188	242	0	0	0	37.696	1	14	11	111.801	0.131	37.696	0.3995776
44_n1_kl_d2_2_1_183	44_n1_kl_d2_2_1_183.jpg	35	215.914	9.986	203	237	0	0	0	34.928	1	15	35	113.629	0.079	34.928	0.3702368
44_n1_kl_d2_2_1_229	44_n1_kl_d2_2_1_229.jpg	51	144.412	39.991	105	238	0	0	0	50.931	1	15	68	46.591	0.081	50.931	0.5398686
44_n1_kl_d2_2_1_377	44_n1_kl_d2_2_1_377.jpg	54	194.778	13.969	172	234	0	0	0	53.451	1	33	28	162.582	0.077	53.451	0.5665806
44_n1_kl_d2_2_1_420	44_n1_kl_d2_2_1_420.jpg	74	186.77	22.077	150	231	0	0	0	73.763	1	44	19	164.268	0.299	73.763	0.7818878
44_n1_kl_d2_2_1_734	44_n1_kl_d2_2_1_734.jpg	56	179.518	39.036	114	255	0	0	0	55.109	1	16	22	168.486	0.013	55.109	0.5841554
44_n1_kl_d2_2_1_746	44_n1_kl_d2_2_1_746.jpg	45	220.8	10.851	200	238	0	0	0	44.407	1	35	65	54.162	0.126	44.407	0.4707142
44_n1_kl_d2_2_1_803	44_n1_kl_d2_2_1_803.jpg	60	165.85	35.907	117	255	0	0	0	59.034	1	36	61	38.811	0.194	59.034	0.6257604
44_n1_kl_d2_2_1_973	44_n1_kl_d2_2_1_973.jpg	52	228.481	14.419	202	255	0	0	0	51.614	1	12	42	35.538	0.034	51.614	0.5471084
44_n1_kl_d2_2_1_997	44_n1_kl_d2_2_1_997.jpg	48	198.333	17.737	172	229	0	0	0	47.424	1	18	18	132.436	0.053	47.424	0.5026944
44_n1_kl_d2_2_150_1237	44_n1_kl_d2_2_150_1237.jpg	33	215.909	15.011	191	255	0	0	0	32.45	1	8	36	33.69	0.108	32.45	0.34397
